App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Paper flowers instructions§ART_AND_DESIGN§4.4§167§5.6M§50,000+§Free§0§Everyone§Art & Design§March 26, 2017§1.0§2.3 and up
Battle Gems (AdventureQuest)§FAMILY§4.4§48427§Varies with device§500,000+§Free§0§Everyone 10+§Puzzle§March 31, 2018§Varies with device§Varies with device
AccuWeather: Daily Forecast & Live Weather Reports§WEATHER§4.4§2052407§Varies with device§50,000,000+§Free§0§Everyone§Weather§August 2, 2018§Varies with device§Varies with device
Moovit: Bus Time & Train Time Live Info§MAPS_AND_NAVIGATION§4.4§616742§Varies with device§10,000,000+§Free§0§Everyone§Maps & Navigation§August 5, 2018§Varies with device§Varies with device
Iron Blade§GAME§4.4§161637§82M§10,000,000+§Free§0§Mature 17+§Action§July 18, 2018§1.7.0m§4.0.3 and up
Dungeon Boss – Strategy RPG§FAMILY§4.4§218881§37M§5,000,000+§Free§0§Everyone 10+§Role Playing§March 28, 2018§0.5.10011§4.0.3 and up
Flat Pack§GAME§4.4§862§44M§100,000+§Free§0§Everyone 10+§Action§March 16, 2018§1.0.4§7.0 and up
Overstock – Home Decor, Furniture Shopping§SHOPPING§4.4§25717§Varies with device§1,000,000+§Free§0§Teen§Shopping§July 31, 2018§Varies with device§Varies with device
Spacecraft AR§FAMILY§4.4§83§85M§10,000+§Free§0§Everyone§Education§June 28, 2018§1.2§7.0 and up
【Miku AR Camera】Mikuture§FAMILY§4.4§36268§41M§1,000,000+§Free§0§Teen§Entertainment§April 25, 2017§3.0.15§4.2 and up
Sonic the Hedgehog™ Classic§GAME§4.4§125652§56M§10,000,000+§Free§0§Everyone§Action§June 18, 2018§3.3.0§4.2 and up
Maleficent Free Fall§FAMILY§4.4§450013§37M§10,000,000+§Free§0§Everyone§Puzzle§July 11, 2018§5.9.0§4.2 and up
Star Wars™: Force Arena§FAMILY§4.4§228130§70M§5,000,000+§Free§0§Everyone 10+§Strategy§July 19, 2018§3.1.4§4.1 and up
Alarm Clock Plus★§LIFESTYLE§4.4§155693§Varies with device§5,000,000+§Free§0§Everyone§Lifestyle§September 30, 2014§Varies with device§Varies with device
Plants vs. Zombies™ Heroes§FAMILY§4.4§379245§68M§10,000,000+§Free§0§Everyone§Casual;Action & Adventure§June 26, 2018§1.28.01§4.1 and up
Ringdroid§VIDEO_PLAYERS§4.4§326232§Varies with device§50,000,000+§Free§0§Everyone§Video Players & Editors§December 3, 2016§Varies with device§Varies with device
Five Nights at Freddy's 4 Demo§GAME§4.4§889425§45M§10,000,000+§Free§0§Teen§Action§July 26, 2015§1.1§2.3 and up
Fandom: Five Nights at Freddys§FAMILY§4.4§17945§9.5M§1,000,000+§Free§0§Mature 17+§Entertainment§June 6, 2018§2.9.8§4.4 and up
HotelTonight: Book amazing deals at great hotels§TRAVEL_AND_LOCAL§4.4§57556§Varies with device§5,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
Multiple Videos at Same Time§VIDEO_PLAYERS§4.4§4706§1.5M§1,000,000+§Free§0§Everyone§Video Players & Editors§June 19, 2018§Z (Special Edition R9)§4.4 and up
Rivals at War: Firefight§GAME§4.4§344819§51M§5,000,000+§Free§0§Teen§Action§October 18, 2016§1.4§3.0 and up
Au Pair Legend§LIFESTYLE§4.4§28§8.8M§1,000+§Free§0§Everyone§Lifestyle§July 19, 2018§3.5§5.0 and up
realcommercial.com.au§BUSINESS§4.4§128§6.7M§50,000+§Free§0§Everyone§Business§June 26, 2018§2.6.1§5.0 and up
Predator Calls for Hunting AU§SPORTS§4.4§27§78M§10,000+§Free§0§Everyone§Sports§August 3, 2016§1.0§4.0.3 and up
AV Tools§TOOLS§4.4§631§Varies with device§100,000+§Free§0§Everyone§Tools§September 22, 2016§Varies with device§Varies with device
Avakin Life - 3D virtual world§FAMILY§4.4§1275373§91M§10,000,000+§Free§0§Teen§Role Playing§July 3, 2018§1.021.10§4.1 and up
AV-IPTV§VIDEO_PLAYERS§4.4§43§44M§1,000+§Free§0§Everyone§Video Players & Editors§April 27, 2018§1.0§4.1 and up
HD Video Player - Video & MP3 Player | AV Player |§VIDEO_PLAYERS§4.4§22§19M§5,000+§Free§0§Everyone§Video Players & Editors§March 6, 2018§1.0.1§4.0 and up
Mobile Security: Antivirus, Web Scan & App Lock§PRODUCTIVITY§4.4§574719§20M§10,000,000+§Free§0§Everyone§Productivity§July 16, 2018§5.0.0.1442§4.1 and up
Kinot & Eichah for Tisha B'Av§BOOKS_AND_REFERENCE§4.4§98§6.3M§10,000+§Free§0§Everyone§Books & Reference§August 4, 2014§1.5§2.2 and up
Roman Clock AW-7§TOOLS§4.4§52§3.0M§5,000+§Free§0§Everyone§Tools§March 17, 2018§2.0§4.3 and up
Call of Duty®: Heroes§GAME§4.4§1604146§57M§10,000,000+§Free§0§Teen§Action§June 27, 2018§4.8.0§4.1 and up
Amber Weather§WEATHER§4.4§260137§13M§10,000,000+§Free§0§Everyone 10+§Weather§July 16, 2018§3.8.1§4.1 and up
Axe Champion§GAME§4.4§21§15M§5,000+§Free§0§Everyone§Arcade§May 28, 2018§0.1§4.1 and up
AX Video Player§VIDEO_PLAYERS§4.4§569§2.6M§50,000+§Free§0§Everyone§Video Players & Editors§November 11, 2015§1.0.9§3.0 and up
The Vikings§GAME§4.4§15806§42M§1,000,000+§Free§0§Teen§Arcade§June 6, 2018§1.0.7§4.1 and up
Stickman and Axe§GAME§4.4§69§2.8M§50,000+§Free§0§Teen§Action§November 25, 2017§1.0§4.0.3 and up
AZ Browser. Private & Download§COMMUNICATION§4.4§1520§5.2M§100,000+§Free§0§Everyone§Communication§December 31, 2016§1.4§4.4 and up
Long Realty AZ Home Search§LIFESTYLE§4.4§132§33M§10,000+§Free§0§Everyone§Lifestyle§March 6, 2018§5.805.180306§4.1 and up
AZ Mobile Gizmo§BUSINESS§4.4§16§3.7M§1,000+§Free§0§Everyone§Business§April 2, 2018§3.4.4§4.2 and up
AZ Practice Test & Questions§FAMILY§4.4§13§3.4M§1,000+§Free§0§Everyone§Education§March 23, 2017§1.0§2.3.3 and up
Ba Financial Calculator plus§FINANCE§4.4§31§206k§1,000+§Paid§$3.99§Everyone§Finance§July 15, 2018§2.9.1§2.1 and up
058.ba§NEWS_AND_MAGAZINES§4.4§27§14M§100+§Free§0§Everyone§News & Magazines§July 6, 2018§1.0§4.2 and up
Banana Kong§GAME§4.4§3452530§68M§100,000,000+§Free§0§Everyone§Action§February 7, 2018§1.9.6.6§4.0.3 and up
Hunt Buddy BC§SPORTS§4.4§172§49M§5,000+§Paid§$2.99§Everyone§Sports§July 10, 2018§1.5§4.0.3 and up
iHunter BC§SPORTS§4.4§55§63M§1,000+§Paid§$4.49§Everyone§Sports§August 3, 2018§2.0.38§4.0.3 and up
Ice Crush 10.000 B.C.§FAMILY§4.4§31§4.2M§100+§Paid§$0.99§Everyone§Casual§August 15, 2013§1.48§2.0 and up
BC Navigator§FAMILY§4.4§21§32M§1,000+§Free§0§Everyone§Education§May 10, 2018§3.2§4.0.3 and up
Explore British Columbia - BC Travel Guide§TRAVEL_AND_LOCAL§4.4§7§17M§500+§Free§0§Everyone§Travel & Local§October 9, 2017§2.0.0§4.4W and up
BC Highways - Road Conditions§TRAVEL_AND_LOCAL§4.4§382§12M§10,000+§Free§0§Everyone§Travel & Local§February 1, 2018§2.1.3§5.0 and up
BC iptv player§VIDEO_PLAYERS§4.4§8§14M§1,000+§Free§0§Everyone§Video Players & Editors§October 12, 2017§Final§4.0 and up
BC Wildflowers§FAMILY§4.4§7§81M§1,000+§Free§0§Everyone§Education§July 10, 2017§3.5§4.1 and up
PMHNP-BC Pocket Prep§MEDICAL§4.4§112§13M§1,000+§Free§0§Everyone§Medical§July 12, 2018§4.5.2§4.4 and up
BDCast - Bangla Live TV,Radio§FAMILY§4.4§7461§31M§1,000,000+§Free§0§Everyone§Entertainment§May 20, 2018§4.2.1§4.1 and up
BD Data Plan (3G & 4G)§COMMUNICATION§4.4§10341§6.9M§500,000+§Free§0§Everyone§Communication§July 5, 2018§5.2.4§4.1 and up
BD Live Call§COMMUNICATION§4.4§7§308k§5,000+§Free§0§Everyone§Communication§September 6, 2016§1.01§2.0 and up
Traffic signs BD§COMMUNICATION§4.4§7§5.3M§500+§Free§0§Everyone§Communication§October 8, 2015§1.0§4.1 and up
Millionaire : Who want to be?§GAME§4.4§4396§40M§100,000+§Free§0§Everyone§Trivia§April 12, 2017§1.5§2.3 and up
Be My Princess: PARTY§FAMILY§4.4§9443§21M§100,000+§Free§0§Teen§Simulation§December 12, 2016§1.8.0§4.0.3 and up
BeautyPlus - Easy Photo Editor & Selfie Camera§PHOTOGRAPHY§4.4§3156484§53M§100,000,000+§Free§0§Everyone§Photography§July 31, 2018§6.9.031§4.1 and up
Top Eleven 2018 - Be a Soccer Manager§SPORTS§4.4§3451011§Varies with device§50,000,000+§Free§0§Everyone§Sports§July 26, 2018§7.4§4.1 and up
Be Like Bro - Compilation§FAMILY§4.4§146§3.9M§10,000+§Free§0§Teen§Entertainment§March 30, 2018§2.4§4.1 and up
Unseen - No Last Seen§TOOLS§4.4§103909§9.2M§5,000,000+§Free§0§Everyone§Tools§May 11, 2018§2.2.7§4.3 and up
BF at Sea Refueled§GAME§4.4§1849§37M§10,000+§Free§0§Everyone§Board§October 20, 2015§1.1.8§2.3.3 and up
Funny videos for whatsapp§VIDEO_PLAYERS§4.4§3066§9.0M§1,000,000+§Free§0§Everyone§Video Players & Editors§December 17, 2017§1.7§4.0.3 and up
Hot Bhojpuri Video Song 2018 - Free Movies§FAMILY§4.4§447§3.7M§100,000+§Free§0§Mature 17+§Entertainment§April 4, 2018§1.0§4.2 and up
BG Advisor™§TOOLS§4.4§7§5.6M§1,000+§Free§0§Everyone§Tools§January 10, 2017§1.3§4.0.3 and up
BG Monitor Diabetes§MEDICAL§4.4§643§2.8M§10,000+§Free§0§Everyone§Medical§April 23, 2017§8.0.1§4.4 and up
ePay.bg§FINANCE§4.4§2017§2.4M§100,000+§Free§0§Everyone§Finance§July 26, 2018§2.22§4.1 and up
Backgammon NJ for Android§GAME§4.4§1644§15M§10,000+§Paid§$7.99§Everyone§Board§April 5, 2017§4.1§2.3.3 and up
JOBS.bg§BUSINESS§4.4§1630§2.2M§100,000+§Free§0§Everyone§Business§August 22, 2017§3.1.0§4.4 and up
BI Mobile§FINANCE§4.4§337§3.3M§10,000+§Free§0§Everyone§Finance§March 15, 2018§1.0§4.0.3 and up
English Dictionary - Offline§BOOKS_AND_REFERENCE§4.4§341234§30M§10,000,000+§Free§0§Everyone 10+§Books & Reference§March 20, 2018§3.9.1§4.2 and up
Little Big City 2§FAMILY§4.4§344383§30M§10,000,000+§Free§0§Everyone§Casual§March 20, 2018§9.2.4§4.0.3 and up
BJ Bridge Pro 2018§GAME§4.4§17§4.8M§500+§Paid§$4.49§Everyone§Card§May 21, 2018§6.2-pro§4.0 and up
Eating Show - Food BJ§FAMILY§4.4§103§36M§10,000+§Free§0§Everyone§Simulation§October 30, 2017§1.29§4.1 and up
BLACKJACK!§GAME§4.4§524467§33M§10,000,000+§Free§0§Teen§Casino§July 7, 2016§1.126§2.3.3 and up
Korean English Translator§FAMILY§4.4§634§1.8M§100,000+§Free§0§Everyone§Education§September 5, 2017§1.6§2.3 and up
BK Dinos§FAMILY§4.4§30§99M§5,000+§Free§0§Everyone§Entertainment§March 31, 2018§0.1§4.0 and up
Burger King Foot Lettuce§FAMILY§4.4§150§5.9M§10,000+§Free§0§Everyone§Entertainment§June 11, 2018§1.07§4.0 and up
SecondSecret ‐「恋を読む」BLノベルゲーム‐§GAME§4.4§1563§40M§50,000+§Free§0§Teen§Adventure§June 29, 2017§1.3.6§4.0 and up
감성학원 BL 첫사랑§COMICS§4.4§190§34M§10,000+§Free§0§Everyone§Comics§November 17, 2017§3.2.1§3.0 and up
BL Holo Theme§PERSONALIZATION§4.4§18§2.1M§500+§Paid§$2.00§Everyone§Personalization§July 1, 2013§1.0.3§2.1 and up
Poop Tracker - Toilet Log§HEALTH_AND_FITNESS§4.4§622§2.5M§10,000+§Free§0§Everyone§Health & Fitness§May 9, 2018§1.3.3§4.4 and up
Bet Master Pro Soccer Predictions§SPORTS§4.4§328§11M§10,000+§Free§0§Everyone§Sports§July 31, 2018§2.0.5§4.4 and up
BN Pro Play-b HD Text§LIBRARIES_AND_DEMO§4.4§34§417k§1,000+§Free§0§Everyone§Libraries & Demo§February 5, 2017§2.3.2§1.6 and up
BN Pro Roboto-b Neon HD Text§LIBRARIES_AND_DEMO§4.4§30§721k§5,000+§Free§0§Everyone§Libraries & Demo§February 5, 2017§2.3.2§1.6 and up
BN Pro Play HD Text§LIBRARIES_AND_DEMO§4.4§63§417k§5,000+§Free§0§Everyone§Libraries & Demo§February 5, 2017§2.3.2§1.6 and up
BN Pro White Text§LIBRARIES_AND_DEMO§4.4§50§506k§5,000+§Free§0§Everyone§Libraries & Demo§February 5, 2017§2.3.2§1.6 and up
Skip-Bo™§GAME§4.4§33661§60M§100,000+§Paid§$2.99§Everyone§Card§August 3, 2018§3.4.6§4.1 and up
Red Ball 4§GAME§4.4§1432447§59M§50,000,000+§Free§0§Everyone§Arcade§November 9, 2017§1.3.21§4.0.3 and up
Hambo§GAME§4.4§125578§17M§5,000,000+§Free§0§Everyone§Action§July 6, 2015§1.1.8§2.1 and up
iBP Blood Pressure§MEDICAL§4.4§578§704k§10,000+§Paid§$0.99§Everyone§Medical§November 30, 2014§7.0.1§2.2 and up
bp e-store§BOOKS_AND_REFERENCE§4.4§52§2.2M§1,000+§Free§0§Everyone§Books & Reference§January 15, 2016§2.0.7§4.0 and up
bpresso PRO§MEDICAL§4.4§515§Varies with device§1,000+§Paid§$5.49§Everyone§Medical§April 19, 2017§Varies with device§Varies with device
Software Update§TOOLS§4.4§8259§3.5M§1,000,000+§Free§0§Everyone§Tools§July 18, 2018§13.3§4.0 and up
[Substratum] M5 Theme§PERSONALIZATION§4.4§16§6.7M§5,000+§Free§0§Everyone§Personalization§March 10, 2018§1.3.4§7.0 and up
RoboPad++§FAMILY§4.4§77§10M§10,000+§Free§0§Everyone§Education§July 7, 2017§1.6§2.3 and up
Bleacher Report: sports news, scores, & highlights§SPORTS§4.4§122280§Varies with device§5,000,000+§Free§0§Everyone 10+§Sports§July 20, 2018§Varies with device§Varies with device
TV Guide BR Gold§FAMILY§4.4§544§Varies with device§5,000+§Paid§$1.49§Everyone§Entertainment§August 20, 2017§Varies with device§Varies with device
BSC IT§FAMILY§4.4§847§21M§10,000+§Free§0§Everyone§Education§July 16, 2018§2.3§4.0.3 and up
BSc Ag Entrance Preparation§FAMILY§4.4§138§6.2M§10,000+§Free§0§Everyone§Education§May 31, 2018§3.7§4.1 and up
17th Edition Cable Sizer§BOOKS_AND_REFERENCE§4.4§47§1.4M§1,000+§Paid§$3.08§Everyone§Books & Reference§May 27, 2016§1.22§2.2 and up
Black Survival§FAMILY§4.4§48451§52M§1,000,000+§Free§0§Teen§Strategy§August 1, 2018§4.6.00§4.0.3 and up
Bu the Baby Bunny - Cute pet care game§FAMILY§4.4§37122§89M§1,000,000+§Free§0§Everyone§Educational§June 14, 2018§1.03§4.1 and up
Next Launcher 3D Theme Stun-BW§PERSONALIZATION§4.4§2839§5.1M§100,000+§Free§0§Everyone§Personalization§January 11, 2014§1.00§2.2 and up
Standard Chartered Mobile (BW)§FINANCE§4.4§96§7.2M§10,000+§Free§0§Everyone§Finance§August 5, 2018§2.9§4.0 and up
Bw Events§EVENTS§4.4§16§1.7M§100+§Free§0§Everyone§Events§August 9, 2016§1.0§4.0 and up
Water Surfer Floating BMX Bicycle Rider Racing§FAMILY§4.4§551§38M§100,000+§Free§0§Everyone§Simulation§July 3, 2017§1.0§2.3 and up
Photo Editor by Aviary§PHOTOGRAPHY§4.4§1490722§21M§50,000,000+§Free§0§Everyone§Photography§July 19, 2018§4.8.4§4.1 and up
No.Color – Color by Number§FAMILY§4.4§23474§8.8M§5,000,000+§Free§0§Everyone§Casual;Creativity§July 26, 2018§1.0.7§4.1 and up
Pixelmania - Color by number & create pixel art§FAMILY§4.4§3588§18M§500,000+§Free§0§Everyone§Entertainment§February 25, 2018§1.18§4.3 and up
Valentines love color by number-Pixel art coloring§FAMILY§4.4§767§18M§100,000+§Free§0§Everyone§Entertainment§February 23, 2018§1.1§4.1 and up
Halloween Sandbox Number Coloring- Color By Number§FAMILY§4.4§289§19M§100,000+§Free§0§Everyone§Entertainment§February 17, 2018§1.2§4.1 and up
Poly Art: Paint by Sticker, Color by Number Puzzle§FAMILY§4.4§2100§Varies with device§100,000+§Free§0§Everyone§Entertainment;Brain Games§July 28, 2018§2.3§4.1 and up
Weather BZ§WEATHER§4.4§8433§5.6M§100,000+§Free§0§Everyone§Weather§June 6, 2018§5.0.1 build 1§4.0 and up
BZ Zombie VR§GAME§4.4§12§98M§1,000+§Free§0§Mature 17+§Action§February 7, 2018§1.4§4.4 and up
TFO BZ Lessons§FAMILY§4.4§75§3.7M§500+§Free§0§Everyone§Education§April 28, 2017§2.1.1§4.1 and up
City Driving Jeep Mania: Parking Passion 2018§FAMILY§4.4§36§24M§10,000+§Free§0§Everyone§Simulation§June 14, 2018§1.0§4.0 and up
ePN Cashback AliExpress§SHOPPING§4.4§19212§6.9M§500,000+§Free§0§Everyone§Shopping§August 3, 2018§0.2.9.17§4.1 and up
Filmi Gaane§FAMILY§4.4§572§Varies with device§100,000+§Free§0§Everyone§Entertainment§August 17, 2017§Varies with device§Varies with device
Creative Destruction§GAME§4.4§201426§80M§5,000,000+§Free§0§Teen§Action§August 2, 2018§1.0.6§4.0 and up
DIY CD Craft Ideas§LIFESTYLE§4.4§5§4.6M§1,000+§Free§0§Everyone§Lifestyle§January 14, 2017§1.0§2.3 and up
CE on the go§TOOLS§4.4§79§3.7M§10,000+§Free§0§Everyone§Tools§February 15, 2018§1.283.0037§2.3.3 and up
Placement Tips for BE (CE/IT)§FAMILY§4.4§7§6.3M§500+§Free§0§Everyone§Education§June 24, 2016§1.4§4.0 and up
CCleaner§TOOLS§4.4§885187§22M§50,000,000+§Free§0§Everyone§Tools§July 19, 2018§4.7.0§4.1 and up
Terminal Emulator for Android§TOOLS§4.4§113951§551k§10,000,000+§Free§0§Everyone§Tools§April 15, 2015§1.0.70§1.6 and up
CF.lumen§TOOLS§4.4§4901§1.9M§100,000+§Free§0§Everyone§Tools§February 9, 2017§3.70§5.0 and up
Cheapflights – Flight Search§TRAVEL_AND_LOCAL§4.4§47777§19M§5,000,000+§Free§0§Everyone§Travel & Local§July 31, 2018§Varies with device§Varies with device
CF-Bench§TOOLS§4.4§2132§103k§100,000+§Free§0§Everyone§Tools§July 3, 2013§1.3§2.1 and up
Next Launcher 3D Bold-CF Theme§PERSONALIZATION§4.4§175§5.5M§1,000+§Paid§$0.99§Everyone§Personalization§January 11, 2014§1.042§2.2 and up
CF Invest§FINANCE§4.4§11§4.6M§500+§Free§0§Everyone§Finance§February 2, 2018§1.20§4.1 and up
CG Shikshak§FAMILY§4.4§211§6.8M§10,000+§Free§0§Everyone§Education§July 5, 2016§2.0§4.0.3 and up
CG JOKES - Copy & Share§FAMILY§4.4§31§4.3M§1,000+§Free§0§Everyone§Entertainment§June 3, 2018§1.1§4.0 and up
Chrome Beta§PRODUCTIVITY§4.4§228755§Varies with device§10,000,000+§Free§0§Everyone§Productivity§July 19, 2018§68.0.3440.70§Varies with device
Calvary.ch App§LIFESTYLE§4.4§10§7.7M§500+§Free§0§Teen§Lifestyle§June 25, 2018§3.8.0§4.1 and up
search.ch§TRAVEL_AND_LOCAL§4.4§11514§2.2M§500,000+§Free§0§Everyone§Travel & Local§March 29, 2018§5.5§4.0 and up
tutti.ch - Free Classifieds§SHOPPING§4.4§9950§15M§500,000+§Free§0§Everyone§Shopping§July 18, 2018§3.7.1§4.1 and up
Chrome Dev§COMMUNICATION§4.4§63576§Varies with device§5,000,000+§Free§0§Everyone§Communication§August 2, 2018§69.0.3497.24§Varies with device
CH Kadels§BUSINESS§4.4§36§10M§1,000+§Free§0§Everyone§Business§March 26, 2018§1.0.2§4.1 and up
Pharmacie de Garde CI et Prix§HEALTH_AND_FITNESS§4.4§2599§6.9M§100,000+§Free§0§Mature 17+§Health & Fitness§January 9, 2018§3.0.5.0§2.0 and up
South Park: Phone Destroyer™§FAMILY§4.4§288835§91M§5,000,000+§Free§0§Mature 17+§Strategy§July 19, 2018§2.7.6§4.4 and up
Grand Theft Auto: San Andreas§GAME§4.4§348962§26M§1,000,000+§Paid§$6.99§Mature 17+§Action§March 21, 2015§1.08§3.0 and up
CONTRACT KILLER: ZOMBIES (NR)§GAME§4.4§206602§13M§5,000,000+§Free§0§Mature 17+§Action§July 1, 2013§3.1.0§2.1 and up
CONTRACT KILLER: ZOMBIES§GAME§4.4§144545§13M§5,000,000+§Free§0§Teen§Action§December 1, 2011§1.1.0§2.1 and up
OB-GYN USMLE Stp2 CK 300 Q & A§MEDICAL§4.4§34§4.9M§10,000+§Free§0§Everyone§Medical§May 16, 2015§1.2§2.0 and up
cPro Marketplace: Buy. Sell. Rent. Date. Jobs.§SHOPPING§4.4§385764§8.4M§10,000,000+§Free§0§Mature 17+§Shopping§August 5, 2018§3.82§4.1 and up
CM Flashlight (Compass, SOS)§TOOLS§4.4§166363§1.8M§5,000,000+§Free§0§Everyone§Tools§May 25, 2018§1.4.0§2.3 and up
CM FILE MANAGER§TOOLS§4.4§953790§Varies with device§50,000,000+§Free§0§Everyone§Tools§August 5, 2018§Varies with device§Varies with device
Technology CM Locker Theme§PERSONALIZATION§4.4§10093§5.5M§1,000,000+§Free§0§Everyone§Personalization§February 26, 2016§1.0.0§4.0 and up
CM AppLock Fingerprint 2018§TOOLS§4.4§1264§8.2M§100,000+§Free§0§Everyone§Tools§August 6, 2018§4.0.4§4.3 and up
Speed Car CM Locker Theme§PERSONALIZATION§4.4§7519§4.0M§500,000+§Free§0§Everyone§Personalization§January 26, 2016§1.0.1§4.0 and up
Calculator CM§TOOLS§4.4§8§1.8M§500+§Free§0§Everyone§Tools§March 9, 2015§1.0§2.3 and up
Inches to cm conversion§TOOLS§4.4§29§70k§10,000+§Free§0§Everyone§Tools§January 14, 2015§1.4§4.0 and up
City light CM Locker Theme§PERSONALIZATION§4.4§6271§5.7M§500,000+§Free§0§Everyone§Personalization§February 24, 2016§1.0.0§4.0 and up
Glitch Fixers: Powerpuff Girls§GAME§4.4§39698§51M§5,000,000+§Free§0§Everyone§Arcade§December 1, 2016§1.0.0§4.1 and up
Flipped Out! - Powerpuff Girls§FAMILY§4.4§412§22M§10,000+§Paid§$2.99§Everyone 10+§Action;Action & Adventure§June 30, 2016§1.0.2§4.0 and up
MobileBiz Co - Cloud Invoice§BUSINESS§4.4§373§4.0M§10,000+§Free§0§Everyone§Business§February 16, 2018§1.3.4§2.0 and up
Co-op Credit Union on the Go§FINANCE§4.4§5§30M§1,000+§Free§0§Everyone§Finance§April 25, 2018§18.1.79§5.0 and up
Good&Co: Career match tests§BUSINESS§4.4§26572§41M§1,000,000+§Free§0§Everyone§Business§July 24, 2018§2.9.1§4.1 and up
Co-Optima Mobile§FINANCE§4.4§218§Varies with device§10,000+§Free§0§Everyone§Finance§June 8, 2017§Varies with device§Varies with device
Call of Mini™ Zombies 2§GAME§4.4§248417§17M§5,000,000+§Free§0§Teen§Arcade§February 10, 2015§2.1.3§2.3.3 and up
Grenada Co-operative Bank§FINANCE§4.4§137§400k§10,000+§Free§0§Everyone§Finance§June 26, 2013§2.4.3§1.6 and up
Dungeon Legends - PvP Action MMO RPG Co-op Games§FAMILY§4.4§102215§42M§1,000,000+§Free§0§Teen§Role Playing§June 25, 2018§3.10§4.0.3 and up
Remote | Fire TV | Android TV | KODI | CetusPlay§TOOLS§4.4§15911§16M§1,000,000+§Free§0§Everyone§Tools§June 30, 2018§4.1.8.1§4.1 and up
Cerebral Palsy§MEDICAL§4.4§38§8.5M§1,000+§Free§0§Everyone§Medical§July 30, 2014§2§3.0 and up
CP Brown English-Telugu Dictionary§FAMILY§4.4§8§6.8M§500+§Free§0§Everyone§Education§November 10, 2017§3.0§4.0 and up
Crusaders Quest§FAMILY§4.4§475020§69M§5,000,000+§Free§0§Everyone 10+§Role Playing§July 26, 2018§4.7.0.KG§4.1 and up
Cardinal Quest 2§FAMILY§4.4§19207§36M§100,000+§Free§0§Everyone§Role Playing§September 19, 2016§1.19§2.3 and up
Gun Simulator - Gun Games§FAMILY§4.4§134§Varies with device§10,000+§Free§0§Teen§Simulation§February 24, 2018§Varies with device§4.0.3 and up
Card Creator for CR§TOOLS§4.4§117850§17M§10,000,000+§Free§0§Everyone§Tools§May 19, 2018§1.8.0§4.1 and up
Chest Simulator for Clash Royale§FAMILY§4.4§4756§33M§100,000+§Free§0§Everyone§Simulation§July 19, 2018§1.1.9§4.1 and up
Royale Tournaments§FAMILY§4.4§2420§6.7M§50,000+§Free§0§Teen§Entertainment§July 28, 2018§5.3.6.0§4.1 and up
CamScanner (License)§PRODUCTIVITY§4.4§26358§50k§500,000+§Paid§$1.99§Everyone§Productivity§January 17, 2014§1.7§2.0 and up
Guide for CS:GO§FAMILY§4.4§16459§88M§500,000+§Free§0§Everyone§Entertainment§July 15, 2017§3.2.0§2.3 and up
Helper for CS:GO§TOOLS§4.4§208§6.0M§10,000+§Free§0§Everyone§Tools§June 16, 2016§1.2.1§4.1 and up
Grenade Practice for CS:GO§FAMILY§4.4§431§17M§10,000+§Free§0§Everyone§Entertainment§June 13, 2016§1.1.1§4.0 and up
Quiz CS:GO players§GAME§4.4§460§31M§50,000+§Free§0§Everyone§Trivia§June 23, 2018§4.2§4.0.3 and up
CT Neck§MEDICAL§4.4§7§8.9M§1,000+§Free§0§Everyone§Medical§January 20, 2018§2.0§4.0 and up
Free resume builder CV maker templates PDF formats§BUSINESS§4.4§9555§4.7M§1,000,000+§Free§0§Everyone§Business§July 19, 2018§7.7§4.1 and up
Resume PDF Maker / CV Builder§BUSINESS§4.4§2147§2.2M§500,000+§Free§0§Everyone§Business§December 14, 2017§1.8§4.4 and up
Cv maker / Job cv maker§FAMILY§4.4§14§5.5M§1,000+§Free§0§Everyone§Education§March 27, 2018§1.0§4.0 and up
Resume Builder Free, CV Maker & Resume Templates§BUSINESS§4.4§20921§5.7M§1,000,000+§Free§0§Everyone§Business§January 11, 2018§4.0.3§4.1 and up
Super Resume Builder Pro, CV§BUSINESS§4.4§244§6.9M§1,000+§Paid§$4.99§Everyone§Business§August 17, 2017§4.38§2.3 and up
Free Resume Builder – CV Maker§BUSINESS§4.4§25§12M§5,000+§Free§0§Everyone§Business§June 9, 2018§1.5§4.4 and up
Resume App§BUSINESS§4.4§11310§Varies with device§1,000,000+§Free§0§Everyone§Business§July 19, 2018§Varies with device§Varies with device
Resume Builder / CV Maker & Templates§BUSINESS§4.4§25§7.9M§5,000+§Free§0§Everyone§Business§January 19, 2018§1.0.3§4.0.3 and up
CV Creator§FAMILY§4.4§31§8.3M§10,000+§Free§0§Everyone§Education§January 8, 2018§1.2.1§4.2 and up
CV-Library Job Search§BUSINESS§4.4§6997§4.6M§100,000+§Free§0§Everyone§Business§July 6, 2018§6.8.0§4.1 and up
The CW§FAMILY§4.4§288209§21M§5,000,000+§Free§0§Teen§Entertainment§July 23, 2018§2.17§4.4 and up
Cartoon Wars: Blade§GAME§4.4§165656§38M§5,000,000+§Free§0§Teen§Arcade§February 7, 2018§1.1.0§2.3 and up
C W Browser§COMMUNICATION§4.4§14§17M§100+§Free§0§Everyone§Communication§October 28, 2017§1.0§4.0 and up
