App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Pixel Draw - Number Art Coloring Book§ART_AND_DESIGN§4.3§967§2.8M§100,000+§Free§0§Everyone§Art & Design;Creativity§June 20, 2018§1.1§4.4 and up
SONIC Drive-In§FOOD_AND_DRINK§4.3§19373§43M§1,000,000+§Free§0§Everyone§Food & Drink§July 31, 2018§3.3.6§4.4 and up
FINAL FANTASY DIMENSIONS§FAMILY§4.3§8450§1.1M§100,000+§Paid§$13.99§Everyone§Role Playing§March 15, 2017§1.1.3§2.3.3 and up
Dr. Pixel: Pill mania Classic§FAMILY§4.3§2419§6.2M§100,000+§Free§0§Everyone§Puzzle§March 31, 2018§1.2.7§4.0 and up
Dr Dre - Beatmaker§GAME§4.3§146§6.0M§10,000+§Free§0§Mature 17+§Music§February 28, 2018§5.3.8§4.0 and up
Dr Driving Racer§GAME§4.3§183§68M§10,000+§Free§0§Everyone§Racing§June 14, 2018§2.1§4.1 and up
Dr. Panda Restaurant 2§FAMILY§4.3§3725§67M§100,000+§Paid§$2.99§Everyone§Educational;Pretend Play§February 17, 2016§1.96§4.0 and up
Learn DS [BETA]§FAMILY§4.3§9§5.0M§500+§Free§0§Everyone§Education§February 12, 2017§0.5§4.0 and up
The Secret Daily Teachings§LIFESTYLE§4.3§206§32M§1,000+§Paid§$4.99§Everyone§Lifestyle§February 11, 2018§14.0§4.0.3 and up
DU Browser—Browse fast & fun§COMMUNICATION§4.3§1133539§4.7M§10,000,000+§Free§0§Everyone§Communication§April 1, 2016§6.4.0.4§4.0 and up
DU Emoji Keyboard（Simeji）§TOOLS§4.3§19234§14M§500,000+§Free§0§Everyone§Tools§February 23, 2017§3.1.3§4.0.3 and up
DU Flashlight - Brightest LED & Flashlight Free§TOOLS§4.3§73821§Varies with device§5,000,000+§Free§0§Everyone§Tools§March 7, 2018§Varies with device§Varies with device
Night: DU Launcher Theme§PERSONALIZATION§4.3§1419§485k§50,000+§Free§0§Everyone§Personalization§October 15, 2015§1.1§4.0 and up
Star Chart§FAMILY§4.3§128808§Varies with device§10,000,000+§Free§0§Everyone§Education;Education§August 2, 2018§Varies with device§Varies with device
DV-2019 Results§FAMILY§4.3§158§2.6M§10,000+§Free§0§Everyone§Entertainment§June 14, 2018§17.0§4.0 and up
DV-2019 PHOTO TOOL§FAMILY§4.3§21§2.5M§1,000+§Free§0§Everyone§Entertainment§January 20, 2018§5.0§4.0 and up
DW Learn German - A1, A2, B1 and placement test§FAMILY§4.3§902§1.8M§100,000+§Free§0§Everyone§Education§September 28, 2017§1.0§4.4 and up
News: DW Español§NEWS_AND_MAGAZINES§4.3§25§6.3M§1,000+§Free§0§Everyone§News & Magazines§April 26, 2018§1.0§4.1 and up
DW Contacts & Phone & Dialer§COMMUNICATION§4.3§21186§10M§1,000,000+§Free§0§Everyone§Communication§August 4, 2018§Varies with device§Varies with device
DW Arabic By dw-arab.com§NEWS_AND_MAGAZINES§4.3§386§6.0M§50,000+§Free§0§Everyone§News & Magazines§October 27, 2017§3.2§4.1 and up
DW Contacts widget§TOOLS§4.3§56§2.0M§1,000+§Paid§$0.99§Everyone§Tools§June 5, 2014§1.1.0.0§2.1 and up
Deaf World DW§COMMUNICATION§4.3§298§Varies with device§10,000+§Free§0§Teen§Communication§November 28, 2017§Varies with device§4.1 and up
DW Event§EVENTS§4.3§9§39M§1,000+§Free§0§Everyone§Events§May 29, 2018§2.32.2§4.1 and up
Age of Procreation DX§FAMILY§4.3§1894§40M§100,000+§Free§0§Mature 17+§Simulation§April 22, 2016§1.441§2.3 and up
3G DZ Configuration§COMMUNICATION§4.3§488§2.5M§50,000+§Free§0§Everyone§Communication§November 19, 2015§6.2.3§3.0 and up
Ouedkniss§SHOPPING§4.3§10355§847k§1,000,000+§Free§0§Teen§Shopping§June 19, 2018§1.5.1§4.0 and up
The Simpsons™: Tapped Out§FAMILY§4.3§636995§49M§10,000,000+§Free§0§Teen§Casual§July 31, 2018§4.34.0§4.0.3 and up
NBA JAM by EA SPORTS™§FAMILY§4.3§56444§43M§500,000+§Paid§$4.99§Everyone§Sports;Action & Adventure§February 8, 2017§04.00.40§2.3 and up
Modern Combat 5: eSports FPS§GAME§4.3§2903386§58M§100,000,000+§Free§0§Mature 17+§Action§July 24, 2018§3.2.1c§4.0 and up
Goodbox - Mega App§COMMUNICATION§4.3§3429§Varies with device§100,000+§Free§0§Everyone§Communication§March 8, 2018§1.10.279.2§4.2 and up
英漢字典 EC Dictionary§FAMILY§4.3§55408§Varies with device§1,000,000+§Free§0§Everyone§Education§January 8, 2018§Varies with device§Varies with device
Financial Calculator Pro EF§FINANCE§4.3§634§2.0M§50,000+§Free§0§Everyone§Finance§October 4, 2013§2.1.0.9§2.1 and up
Equestria Girls§FAMILY§4.3§392819§53M§10,000,000+§Free§0§Everyone§Role Playing;Action & Adventure§July 22, 2016§37893§4.0 and up
E.G. Chess§GAME§4.3§56§23M§1,000+§Paid§$0.99§Everyone§Board§December 6, 2014§1.0.28§2.3 and up
My Little Pony Celebration§FAMILY§4.3§63192§17M§1,000,000+§Free§0§Everyone§Simulation;Pretend Play§July 22, 2016§1.0.0§2.3 and up
Sirens Fashion Style Game§FAMILY§4.3§2282§22M§500,000+§Free§0§Everyone§Simulation§February 20, 2018§1.0§4.0 and up
Pineapple Pen§GAME§4.3§157264§65M§10,000,000+§Free§0§Everyone§Arcade§December 30, 2016§1.31§4.0.3 and up
Ei Samay - Bengali News Paper§NEWS_AND_MAGAZINES§4.3§20620§Varies with device§1,000,000+§Free§0§Everyone§News & Magazines§July 17, 2018§Varies with device§Varies with device
Crack Attack§FAMILY§4.3§31970§77M§1,000,000+§Free§0§Everyone§Puzzle§June 7, 2017§1.8§Varies with device
Ambulance Rescue Simulator 17§FAMILY§4.3§6669§31M§1,000,000+§Free§0§Everyone§Simulation§March 1, 2018§1.0.8§2.3 and up
Traffic Sniper Counter Attack§GAME§4.3§5339§38M§1,000,000+§Free§0§Teen§Action§December 5, 2017§1.0§2.3 and up
Footej Camera§PHOTOGRAPHY§4.3§13258§Varies with device§1,000,000+§Free§0§Everyone§Photography§June 20, 2018§2.3.0 build 180§5.0 and up
Dead Target Zombie Shooting US Sniper Killer Squad§GAME§4.3§240§65M§50,000+§Free§0§Teen§Action§October 3, 2017§1.0.2§4.0 and up
Pregnant Mom Surgery Newborn Twins Baby Birth Care§FAMILY§4.3§95§28M§10,000+§Free§0§Teen§Educational§February 24, 2018§1.0§4.1 and up
OffRoad US Army Train Driving Simulator§FAMILY§4.3§1216§59M§500,000+§Free§0§Everyone 10+§Simulation§June 11, 2018§1.3§4.1 and up
Smoke Effect Name Art Maker-Avatar Text Art Editor§PERSONALIZATION§4.3§1961§6.6M§100,000+§Free§0§Everyone§Personalization§June 29, 2018§1.0§4.1 and up
Racing Moto§GAME§4.3§697805§7.4M§50,000,000+§Free§0§Everyone§Racing§July 3, 2018§1.2.13§3.0 and up
Train Racing Games 3D 2 Player§GAME§4.3§192374§56M§10,000,000+§Free§0§Everyone§Racing§January 9, 2018§Varies with device§5.0 and up
Video Maker with Photo and Music§PHOTOGRAPHY§4.3§4871§30M§1,000,000+§Free§0§Everyone§Photography§March 19, 2018§1.0.2§4.1 and up
Bus Driver 3D: Hill Station§FAMILY§4.3§31705§49M§5,000,000+§Free§0§Everyone§Simulation§November 6, 2017§1.7§4.1 and up
el§FAMILY§4.3§32405§47M§1,000,000+§Free§0§Everyone§Casual§December 18, 2014§1.2.1§4.2 and up
TV Local El Salvador§FAMILY§4.3§323§3.6M§10,000+§Free§0§Everyone§Entertainment§May 8, 2018§1§4.0.3 and up
Tigo Money El Salvador§FINANCE§4.3§4642§3.5M§100,000+§Free§0§Everyone§Finance§July 23, 2018§5.0.0§4.2 and up
Poker Live! 3D Texas Hold'em§GAME§4.3§6143§37M§100,000+§Free§0§Teen§Casino§July 25, 2018§Varies with device§4.0.3 and up
CBS Sports App - Scores, News, Stats & Watch Live§SPORTS§4.3§91035§Varies with device§5,000,000+§Free§0§Everyone§Sports§August 4, 2018§Varies with device§5.0 and up
Boyaa Poker (En) – Social Texas Hold’em§GAME§4.3§71468§51M§1,000,000+§Free§0§Teen§Card§June 12, 2018§5.8.0§4.1 and up
Rage Fight of Streets - Beat Em Up Game§GAME§4.3§1489§67M§100,000+§Free§0§Teen§Action§May 13, 2018§Varies with device§4.1 and up
Yoong: Kick 'Em Up!§SPORTS§4.3§7107§33M§100,000+§Free§0§Everyone§Sports§December 16, 2015§1.1.1§4.0.3 and up
Texas Holdem & Omaha Poker: Pokerist§GAME§4.3§187200§28M§10,000,000+§Free§0§Teen§Card§July 31, 2018§18.4.0§4.1 and up
Governor of Poker 2 - OFFLINE POKER GAME§GAME§4.3§246538§60M§5,000,000+§Free§0§Teen§Card§March 6, 2018§3.0.8§2.3 and up
Words With Friends – Play Free§GAME§4.3§711719§Varies with device§10,000,000+§Free§0§Everyone§Word§July 11, 2018§Varies with device§Varies with device
FRANCE 24§NEWS_AND_MAGAZINES§4.3§47069§Varies with device§5,000,000+§Free§0§Everyone 10+§News & Magazines§June 25, 2018§Varies with device§Varies with device
HTC Sense Input - EN§TOOLS§4.3§24175§8.5M§5,000,000+§Free§0§Everyone§Tools§October 30, 2015§1.0.612931§5.0 and up
busuu: Learn Languages - Spanish, English & More§FAMILY§4.3§207294§21M§10,000,000+§Free§0§Everyone 10+§Education§August 1, 2018§13.9.0.161§5.0 and up
EO.TRADE - Coin sale§FINANCE§4.3§95§1.5M§10,000+§Free§0§Everyone§Finance§June 5, 2018§0.3§4.0.3 and up
EO Bijbel Open§LIFESTYLE§4.3§102§41M§10,000+§Free§0§Everyone§Lifestyle§November 24, 2016§2.0.0§4.0.3 and up
Free games: Masha and the Bear§FAMILY§4.3§34514§60M§5,000,000+§Free§0§Everyone§Puzzle;Brain Games§July 20, 2018§1.2.8§4.1 and up
Masha and Bear: Cooking Dash§FAMILY§4.3§151374§54M§10,000,000+§Free§0§Everyone§Role Playing;Brain Games§June 5, 2018§1.2.7§4.1 and up
Frozen Free Fall§FAMILY§4.3§1574546§37M§50,000,000+§Free§0§Everyone§Puzzle;Action & Adventure§July 27, 2018§6.7.0§4.2 and up
Masha and The Bear Puzzle Game§FAMILY§4.3§13330§73M§1,000,000+§Free§0§Everyone§Puzzle;Brain Games§May 24, 2018§2.0§4.1 and up
Sports Car Driving Simulator 2018§GAME§4.3§2178§57M§500,000+§Free§0§Everyone§Racing§March 28, 2018§1.1§4.1 and up
Episode - Choose Your Story§FAMILY§4.3§1842381§Varies with device§50,000,000+§Free§0§Teen§Simulation§July 31, 2018§Varies with device§Varies with device
EP Mobile§MEDICAL§4.3§267§2.3M§50,000+§Free§0§Everyone§Medical§July 8, 2018§2.18§4.0 and up
The Visitor: Ep.2 - Sleepover Slaughter§GAME§4.3§5731§31M§1,000,000+§Free§0§Mature 17+§Adventure§January 2, 2018§1.1.5§4.1 and up
The Great Wobo Escape Ep.1§FAMILY§4.3§11§20M§500+§Paid§$1.99§Everyone 10+§Action;Action & Adventure§May 3, 2016§1.0.3289§4.1 and up
Operate Now: Hospital§FAMILY§4.3§254861§52M§10,000,000+§Free§0§Teen§Simulation§August 1, 2018§1.20.3§4.4 and up
ER Heart Surgery - Emergency Simulator Game§FAMILY§4.3§429§40M§100,000+§Free§0§Everyone§Educational§July 19, 2018§2.0§4.1 and up
DMC ER Now§MEDICAL§4.3§6§5.3M§1,000+§Free§0§Everyone§Medical§March 16, 2017§1.4§2.3 and up
Voxer Walkie Talkie Messenger§COMMUNICATION§4.3§230564§Varies with device§10,000,000+§Free§0§Everyone§Communication§July 31, 2018§Varies with device§Varies with device
ES Task Manager (Task Killer )§BUSINESS§4.3§171771§3.2M§10,000,000+§Free§0§Everyone§Business§January 15, 2018§2.0.6.4§2.1 and up
ES App Locker§TOOLS§4.3§32207§3.4M§1,000,000+§Free§0§Everyone§Tools§August 16, 2017§1.1.8.2§2.1 and up
ES Classic Theme§TOOLS§4.3§20865§2.2M§1,000,000+§Free§0§Everyone§Tools§October 30, 2015§2.0.3§2.1 and up
ES Holo Theme§TOOLS§4.3§11449§1.7M§500,000+§Free§0§Everyone§Tools§February 2, 2016§2.0.4§2.0 and up
ES Summer Chill Theme for Free§TOOLS§4.3§940§387k§100,000+§Free§0§Everyone§Tools§August 24, 2017§2.0.7§4.0 and up
OpenGL-ES Info§TOOLS§4.3§249§626k§10,000+§Free§0§Everyone§Tools§August 8, 2013§1.4§1.6 and up
HTC Sense Input - ES§TOOLS§4.3§3509§6.5M§1,000,000+§Free§0§Everyone§Tools§October 30, 2015§1.0.612919§5.0 and up
Economic Times : Market News§NEWS_AND_MAGAZINES§4.3§93708§Varies with device§5,000,000+§Free§0§Everyone§News & Magazines§July 9, 2018§Varies with device§Varies with device
Economic Times : Market News Go Edition§NEWS_AND_MAGAZINES§4.3§39§4.2M§5,000+§Free§0§Everyone§News & Magazines§April 18, 2018§1.0.4§4.1 and up
Lettre de motivation et CV§FAMILY§4.3§979§9.9M§100,000+§Free§0§Everyone§Education§July 30, 2018§2.0§4.0 and up
Google Earth§TRAVEL_AND_LOCAL§4.3§2339098§Varies with device§100,000,000+§Free§0§Everyone§Travel & Local§June 18, 2018§9.2.17.13§4.1 and up
Empires and Allies§FAMILY§4.3§398746§Varies with device§10,000,000+§Free§0§Everyone 10+§Strategy§August 6, 2018§Varies with device§4.1 and up
iTranslate Translator & Dictionary§PRODUCTIVITY§4.3§201718§35M§10,000,000+§Free§0§Everyone§Productivity§July 11, 2018§4.6.15§4.1 and up
Flag Of European Union LWP§PERSONALIZATION§4.3§88§4.2M§1,000+§Free§0§Everyone§Personalization§January 24, 2018§7.0§4.0.3 and up
EU Flags Live Wallpaper§PERSONALIZATION§4.3§444§12M§10,000+§Paid§$0.99§Everyone§Personalization§November 18, 2013§1.95§2.1 and up
EU Mobile Money Partenaire Commercial§FINANCE§4.3§70§3.9M§10,000+§Free§0§Everyone§Finance§May 14, 2018§1.3§4.0.3 and up
NEXTCHARGE - Charging Stations§MAPS_AND_NAVIGATION§4.3§891§6.4M§50,000+§Free§0§Everyone§Maps & Navigation§July 26, 2018§4.5.1§4.1 and up
EV Finder§TOOLS§4.3§29§23M§1,000+§Free§0§Everyone§Tools§February 7, 2017§2.7§2.3 and up
Bird - Enjoy The Ride§TRAVEL_AND_LOCAL§4.3§2649§25M§500,000+§Free§0§Everyone§Travel & Local§August 3, 2018§4.1.1§4.4 and up
Home Security Camera WardenCam - reuse old phones§HOUSE_AND_HOME§4.3§43847§Varies with device§1,000,000+§Free§0§Everyone§House & Home§July 6, 2018§Varies with device§Varies with device
PeopleTV - Watch Celebrity News§FAMILY§4.3§2223§8.6M§100,000+§Free§0§Teen§Entertainment§March 28, 2018§1.2.0.8§4.1 and up
Water Surfer Racing In Moto§GAME§4.3§2233§36M§1,000,000+§Free§0§Everyone§Racing§February 28, 2018§1.1§2.3 and up
ADWLauncher 1 EX§PERSONALIZATION§4.3§28728§2.8M§500,000+§Paid§$2.49§Everyone§Personalization§July 27, 2013§1.3.3.9§1.6 and up
GO Launcher EX UI5.0 theme§PERSONALIZATION§4.3§111634§13M§5,000,000+§Free§0§Everyone§Personalization§May 26, 2014§2.08§2.0 and up
Airway Ex - Intubate. Anesthetize. Train.§MEDICAL§4.3§123§86M§10,000+§Free§0§Everyone§Medical§June 1, 2018§0.6.88§5.0 and up
Aurum Blade EX§FAMILY§4.3§28151§17M§1,000,000+§Free§0§Everyone 10+§Role Playing§June 4, 2015§1.0.2§2.2 and up
BakaReader EX§BOOKS_AND_REFERENCE§4.3§8894§2.3M§100,000+§Free§0§Everyone§Books & Reference§July 23, 2018§1.1.51§4.0 and up
CYANOGEN GO Launcher EX Theme§PERSONALIZATION§4.3§60298§13M§5,000,000+§Free§0§Everyone§Personalization§January 8, 2015§1.38§1.6 and up
S.O.L : Stone of Life EX§FAMILY§4.3§171220§42M§5,000,000+§Free§0§Everyone 10+§Role Playing§July 28, 2015§1.2.6§2.3.3 and up
Virtual Dice EX§GAME§4.3§40§3.6M§5,000+§Free§0§Everyone§Board§March 15, 2016§2.8§3.0 and up
EY Staff ENTERTAINER§LIFESTYLE§4.3§218§19M§10,000+§Free§0§Everyone§Lifestyle§January 16, 2017§1.0.3§2.3 and up
I am Dentist - Save my Teeth§FAMILY§4.3§7443§33M§100,000+§Free§0§Everyone§Casual§September 29, 2016§1.0.11§3.0 and up
E-Z App™ Train Control§TOOLS§4.3§33§46M§1,000+§Free§0§Everyone§Tools§December 6, 2016§1.0§4.3 and up
EZ Wifi Notification§COMMUNICATION§4.3§260§193k§10,000+§Free§0§Everyone§Communication§August 11, 2014§1.8§2.2 and up
EZ-VPNGate§TOOLS§4.3§36§12M§5,000+§Free§0§Everyone§Tools§August 21, 2017§1.0.7§4.0.3 and up
EZ-Builder Mobile§FAMILY§4.3§51§57M§5,000+§Free§0§Everyone§Education§April 2, 2018§2018.04.02.00§3.0 and up
Farsi Keyboard§TOOLS§4.3§9716§1.3M§1,000,000+§Free§0§Everyone§Tools§April 10, 2018§4.7§4.0 and up
Premier League - Official App§SPORTS§4.3§63782§24M§5,000,000+§Free§0§Everyone§Sports§August 7, 2018§1.1.5§4.1 and up
FaFaFa™ Gold Casino: Free slot machines§GAME§4.3§11051§44M§1,000,000+§Free§0§Teen§Casino§June 25, 2018§1.9.58§4.0.3 and up
Messenger Messenger§SOCIAL§4.3§38826§7.0M§10,000,000+§Free§0§Everyone§Social§August 7, 2018§1.6§4.1 and up
Authy 2-Factor Authentication§TOOLS§4.3§15070§6.3M§1,000,000+§Free§0§Everyone§Tools§July 30, 2018§23.2.7§4.0.3 and up
Swift for Facebook Lite§SOCIAL§4.3§9562§5.8M§500,000+§Free§0§Teen§Social§May 31, 2018§4.1.0§Varies with device
Faster for Facebook Lite§SOCIAL§4.3§24456§4.6M§1,000,000+§Free§0§Teen§Social§May 29, 2018§4.7§4.1 and up
Lite for Facebook Messenger§COMMUNICATION§4.3§76498§4.3M§1,000,000+§Free§0§Teen§Communication§June 20, 2018§6.3.2§Varies with device
Video Downloader For FB: Save FB Videos 2018§TOOLS§4.3§434§3.6M§50,000+§Free§0§Everyone§Tools§August 8, 2018§1.1.9§4.0.3 and up
Phoenix - Facebook & Messenger§SOCIAL§4.3§9606§3.4M§100,000+§Free§0§Teen§Social§July 18, 2018§2.2.0717§5.0 and up
Videos downloader for Facebook:fast fb video saver§VIDEO_PLAYERS§4.3§20§5.1M§5,000+§Free§0§Everyone§Video Players & Editors§April 27, 2018§1.0.0§4.0.3 and up
Stickers for Facebook§SOCIAL§4.3§11066§10M§1,000,000+§Free§0§Everyone§Social§March 13, 2018§1.4§4.4 and up
Video Download For FB§TOOLS§4.3§444§1.6M§100,000+§Free§0§Everyone§Tools§July 14, 2017§1.0§3.0 and up
Video Downloader for FB§TOOLS§4.3§53§3.0M§5,000+§Free§0§Everyone§Tools§August 1, 2018§1.0.1§4.0.3 and up
IDM for Facebook ★ Downloader§PRODUCTIVITY§4.3§1905§3.1M§100,000+§Free§0§Everyone§Productivity§October 17, 2015§7.95§2.3 and up
FC BARCELONA EVENTS§SPORTS§4.3§6§11M§100+§Free§0§Everyone§Sports§April 22, 2018§v2.7.11.16§4.1 and up
File Commander - File Manager/Explorer§BUSINESS§4.3§758590§12M§100,000,000+§Free§0§Everyone§Business§August 2, 2018§Varies with device§4.1 and up
Fulham FC§SPORTS§4.3§401§2.8M§10,000+§Free§0§Everyone§Sports§August 9, 2017§5.0§2.3 and up
Policy And FD Manager§FINANCE§4.3§20§4.8M§500+§Free§0§Everyone§Finance§June 9, 2018§14§4.4 and up
LineStar for FanDuel§SPORTS§4.3§1539§14M§50,000+§Free§0§Teen§Sports§June 6, 2018§3.0.3§4.0.3 and up
Santa Fe FCU Mobile Banking§FINANCE§4.3§12§9.0M§1,000+§Free§0§Everyone§Finance§January 22, 2018§1.18.4§4.0 and up
BROTHER IN WARS: GUNNER CITY WARLORDS§GAME§4.3§8649§39M§1,000,000+§Free§0§Teen§Action§July 26, 2018§1.0.3§4.2 and up
PBS KIDS Games§FAMILY§4.3§12919§94M§1,000,000+§Free§0§Everyone§Educational;Education§June 6, 2018§1.15.2§4.4 and up
Shoot Hunter-Gun Killer§GAME§4.3§320334§27M§50,000,000+§Free§0§Teen§Action§August 8, 2018§1.1.2§4.1 and up
Avast Wi-Fi Finder§PRODUCTIVITY§4.3§37277§13M§1,000,000+§Free§0§Everyone§Productivity§February 26, 2018§2.3.1§4.0.3 and up
Offroad Cruiser§FAMILY§4.3§42432§36M§1,000,000+§Free§0§Everyone§Simulation§July 13, 2016§1.3§2.3.3 and up
Cake Shop - Kids Cooking§FAMILY§4.3§30668§33M§5,000,000+§Free§0§Everyone§Casual;Pretend Play§July 16, 2018§2.1.3181§4.0.3 and up
Offroad 4x4 Car Driving§FAMILY§4.3§26224§43M§1,000,000+§Free§0§Everyone§Simulation§April 29, 2017§1.0.4§2.3 and up
Florida DMV Permit Test -Fl§FAMILY§4.3§87§30M§10,000+§Free§0§Everyone§Education§February 15, 2018§6.0.3§4.4 and up
The Florida Trail Guide§TRAVEL_AND_LOCAL§4.3§100§13M§5,000+§Free§0§Everyone§Travel & Local§April 1, 2017§6.0.18§4.1 and up
FL Racing Manager 2018 Pro§SPORTS§4.3§340§15M§5,000+§Paid§$1.99§Everyone§Sports§March 17, 2018§1.18§3.0 and up
First Federal Bank of Florida§FINANCE§4.3§133§30M§10,000+§Free§0§Everyone§Finance§May 23, 2018§18.1.79§5.0 and up
Fruit Ninja Classic§GAME§4.3§85468§36M§1,000,000+§Paid§$0.99§Everyone§Arcade§June 8, 2018§2.4.1.485300§4.0.3 and up
Zombie Defense§FAMILY§4.3§275048§41M§10,000,000+§Free§0§Teen§Strategy§June 22, 2018§12.2§2.3 and up
Mobile Kick§SPORTS§4.3§111809§40M§10,000,000+§Free§0§Everyone§Sports§February 7, 2018§1.0.21§4.1 and up
MX Player Codec (ARMv7)§LIBRARIES_AND_DEMO§4.3§332083§6.3M§10,000,000+§Free§0§Everyone§Libraries & Demo§April 23, 2018§1.9.19§4.0 and up
Draw with FP sDraw§TOOLS§4.3§3268§467k§100,000+§Free§0§Everyone§Tools§December 16, 2017§6.6§2.0 and up
PhotoFunia§PHOTOGRAPHY§4.3§316378§4.4M§10,000,000+§Free§0§Everyone§Photography§June 3, 2017§4.0.7.0§2.3 and up
Hondata Mobile§MAPS_AND_NAVIGATION§4.3§334§676k§10,000+§Free§0§Everyone§Maps & Navigation§August 23, 2016§1.3§2.3.3 and up
Modern Strike Online§GAME§4.3§834117§44M§10,000,000+§Free§0§Teen§Action§July 30, 2018§1.25.4§4.1 and up
Big Hunter§GAME§4.3§245455§84M§10,000,000+§Free§0§Everyone 10+§Action§May 31, 2018§2.8.6§4.0 and up
Fatal Raid - No.1 Mobile FPS§GAME§4.3§56496§81M§1,000,000+§Free§0§Teen§Action§August 7, 2018§1.5.447§4.0 and up
Scoreboard FR§LIFESTYLE§4.3§3§15M§100+§Free§0§Everyone§Lifestyle§August 7, 2018§2.1§4.2 and up
